Prompt,Response
"""Patient is 23 years old","Female. Symptoms include Fatigue, Shortness of breath, Body ache. Heart rate: 98 bpm, Body temperature: 39.8°C, Blood pressure: 150/83, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 78 years old","Female. Symptoms include Shortness of breath, Fever, Fatigue. Heart rate: 70 bpm, Body temperature: 39.4°C, Blood pressure: 156/69, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 32 years old","Female. Symptoms include Shortness of breath, Fatigue, Headache. Heart rate: 73 bpm, Body temperature: 39.0°C, Blood pressure: 108/60, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 38 years old","Male. Symptoms include Runny nose, Sore throat, Fatigue. Heart rate: 92 bpm, Body temperature: 36.3°C, Blood pressure: 123/61, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 36 years old","Female. Symptoms include Fever, Headache, Fatigue. Heart rate: 107 bpm, Body temperature: 37.4°C, Blood pressure: 90/110, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 71 years old","Female. Symptoms include Runny nose, Cough, Fever. Heart rate: 70 bpm, Body temperature: 37.4°C, Blood pressure: 97/115, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 37 years old","Female. Symptoms include Runny nose, Fatigue, Shortness of breath. Heart rate: 112 bpm, Body temperature: 37.0°C, Blood pressure: 98/105, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 55 years old","Male. Symptoms include Shortness of breath, Sore throat, Runny nose. Heart rate: 91 bpm, Body temperature: 36.3°C, Blood pressure: 174/116, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 31 years old","Female. Symptoms include Fever, Headache, Body ache. Heart rate: 62 bpm, Body temperature: 37.7°C, Blood pressure: 115/79, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 49 years old","Female. Symptoms include Runny nose, Fever, Shortness of breath. Heart rate: 83 bpm, Body temperature: 36.3°C, Blood pressure: 98/64, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 55 years old","Female. Symptoms include Headache, Body ache, Shortness of breath. Heart rate: 118 bpm, Body temperature: 40.0°C, Blood pressure: 124/99, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 49 years old","Female. Symptoms include Headache, Cough, Fatigue. Heart rate: 110 bpm, Body temperature: 36.2°C, Blood pressure: 104/114, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 38 years old","Male. Symptoms include Runny nose, Headache, Body ache. Heart rate: 91 bpm, Body temperature: 38.3°C, Blood pressure: 146/95, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 73 years old","Male. Symptoms include Sore throat, Shortness of breath, Fatigue. Heart rate: 91 bpm, Body temperature: 36.4°C, Blood pressure: 134/119, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 50 years old","Male. Symptoms include Shortness of breath, Fatigue, Headache. Heart rate: 60 bpm, Body temperature: 39.3°C, Blood pressure: 99/102, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 38 years old","Male. Symptoms include Headache, Sore throat, Cough. Heart rate: 83 bpm, Body temperature: 37.9°C, Blood pressure: 144/89, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 77 years old","Female. Symptoms include Fatigue, Fever, Cough. Heart rate: 107 bpm, Body temperature: 35.8°C, Blood pressure: 93/118, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 49 years old","Male. Symptoms include Fever, Fatigue, Cough. Heart rate: 94 bpm, Body temperature: 37.7°C, Blood pressure: 146/81, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 61 years old","Female. Symptoms include Fever, Headache, Sore throat. Heart rate: 91 bpm, Body temperature: 37.8°C, Blood pressure: 150/93, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 45 years old","Male. Symptoms include Sore throat, Headache, Body ache. Heart rate: 107 bpm, Body temperature: 39.5°C, Blood pressure: 156/117, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 76 years old","Female. Symptoms include Headache, Sore throat, Shortness of breath. Heart rate: 60 bpm, Body temperature: 36.4°C, Blood pressure: 152/112, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 47 years old","Male. Symptoms include Runny nose, Fatigue, Fever. Heart rate: 116 bpm, Body temperature: 38.9°C, Blood pressure: 145/66, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Pneumonia. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 49 years old","Male. Symptoms include Cough, Sore throat, Fatigue. Heart rate: 103 bpm, Body temperature: 36.9°C, Blood pressure: 162/68, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 33 years old","Female. Symptoms include Sore throat, Fever, Fatigue. Heart rate: 87 bpm, Body temperature: 37.5°C, Blood pressure: 141/118, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 79 years old","Male. Symptoms include Headache, Fever, Body ache. Heart rate: 96 bpm, Body temperature: 35.8°C, Blood pressure: 165/96, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 23 years old","Male. Symptoms include Runny nose, Body ache, Headache. Heart rate: 89 bpm, Body temperature: 38.2°C, Blood pressure: 115/75, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 29 years old","Female. Symptoms include Body ache, Headache, Fatigue. Heart rate: 99 bpm, Body temperature: 37.8°C, Blood pressure: 151/90, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 59 years old","Female. Symptoms include Fever, Shortness of breath, Headache. Heart rate: 91 bpm, Body temperature: 36.3°C, Blood pressure: 138/109, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 32 years old","Female. Symptoms include Shortness of breath, Fever, Cough. Heart rate: 66 bpm, Body temperature: 39.2°C, Blood pressure: 99/63, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 50 years old","Male. Symptoms include Cough, Shortness of breath, Runny nose. Heart rate: 82 bpm, Body temperature: 35.8°C, Blood pressure: 102/91, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 79 years old","Male. Symptoms include Fatigue, Body ache, Headache. Heart rate: 94 bpm, Body temperature: 37.7°C, Blood pressure: 173/83, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 65 years old","Male. Symptoms include Headache, Runny nose, Sore throat. Heart rate: 112 bpm, Body temperature: 36.5°C, Blood pressure: 122/115, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 70 years old","Female. Symptoms include Runny nose, Sore throat, Cough. Heart rate: 86 bpm, Body temperature: 39.3°C, Blood pressure: 162/63, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 66 years old","Male. Symptoms include Body ache, Fatigue, Fever. Heart rate: 98 bpm, Body temperature: 39.3°C, Blood pressure: 163/99, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 20 years old","Male. Symptoms include Runny nose, Sore throat, Fatigue. Heart rate: 106 bpm, Body temperature: 37.8°C, Blood pressure: 153/78, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 31 years old","Female. Symptoms include Shortness of breath, Runny nose, Headache. Heart rate: 118 bpm, Body temperature: 35.6°C, Blood pressure: 120/64, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Cold. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 51 years old","Female. Symptoms include Headache, Fatigue, Runny nose. Heart rate: 71 bpm, Body temperature: 36.7°C, Blood pressure: 92/63, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 24 years old","Female. Symptoms include Runny nose, Fatigue, Shortness of breath. Heart rate: 99 bpm, Body temperature: 39.2°C, Blood pressure: 106/67, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 64 years old","Male. Symptoms include Headache, Fever, Shortness of breath. Heart rate: 107 bpm, Body temperature: 38.5°C, Blood pressure: 169/112, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Pneumonia. Severity: Severe. Recommended treatment: Hospitalization and medication."
